#SampleID,Julian,Week,Months,Years,Site,Season,Bloom,TP,TN,DP,DN,Precipitation,Temperature,Microcystin,Description
13.06.2006.1c,164,23,June,2006,Pelagic,Spring,no,51.958527,1413.005,34.5288295,1.2993945,47.2,15.3,0.0033,13.06.2006.1c
13.06.2006.2c,164,23,June,2006,Littoral,Spring,no,58.42204,1597.079,37.796898,1.4146905,47.2,15.3,0.0012,13.06.2006.2c
27.06.06.1,178,25,June,2006,Pelagic,Summer,no,32.4227405,1021.058,11.3618565,0.9155875,2.9,20.7,0,27.06.06.1
27.06.06.2,178,25,June,2006,Littoral,Summer,no,39.6124915,1133.5565,13.75844,1.025423,2.9,20.7,0,27.06.06.2
12.07.2006.1b,193,28,July,2006,Pelagic,Summer,no,76.1119705,890.2395,23.3830935,0.7574795,3.6,21.5,0.138,12.07.2006.1b
12.07.2006.2b,193,28,July,2006,Littoral,Summer,no,51.8749095,924.632,21.357441,0.802102,3.6,21.5,0.16,12.07.2006.2b
25.07.06.1,206,29,July,2006,Pelagic,Summer,no,NA,NA,NA,NA,2.3,22.7,0,25.07.06.1
02.08.2006.1b,214,31,August,2006,Pelagic,Summer,yes,80.09251,960.016,45.5060465,0.636552,35.4,24.2,0.477,02.08.2006.1b
02.08.2006.2b,214,31,August,2006,Littoral,Summer,yes,121.2247495,1425.8495,28.699325,0.556977,35.4,24.2,1.88,02.08.2006.2b
15.08.2006.1a,227,32,August,2006,Pelagic,Summer,yes,NA,NA,NA,NA,4.3,17.9,0,15.08.2006.1a
15.08.2006.2a,227,32,August,2006,Littoral,Summer,yes,163.5069225,1455.846,32.149126,0.5180285,4.3,17.9,4.28,15.08.2006.2a
22.08.06.1,234,33,August,2006,Pelagic,Summer,no,97.0761445,973.1345,34.095167,0.6318595,8.7,21,0,22.08.06.1
22.08.06.2,234,33,August,2006,Littoral,Summer,no,97.2530575,843.246,40.9947685,-0.0495495,8.7,21,0,22.08.06.2
05.09.06.1,248,35,September,2006,Pelagic,Summer,no,46.806232,733.574,20.0555125,0.4684645,1.36,16.2,0,05.09.06.1
05.09.06.2,248,35,September,2006,Littoral,Summer,no,69.370499,736.7605,23.3904825,0.4477295,1.36,16.2,0,05.09.06.2
12.09.2006.1a,255,36,September,2006,Pelagic,Summer,yes,54.114784,632.9985,17.3591535,0.3130345,6.7,14.9,2.74,12.09.2006.1a
12.09.2006.2b,255,36,September,2006,Littoral,Summer,yes,54.540525,610.5105,14.520881,0.303932,6.7,14.9,2.36,12.09.2006.2b
26.09.2006.1b,269,38,September,2006,Pelagic,Fall,no,NA,NA,NA,NA,18.7,14.1,0,26.09.2006.1b
10.10.06.1,283,40,October,2006,Pelagic,Fall,no,NA,NA,NA,NA,2.06,10.8,0,10.10.06.1
16.10.2006.2b,289,41,October,2006,Littoral,Fall,no,96.830787,773.2315,42.0521255,0.542282,14.1,9.1,0,16.10.2006.2b
09.05.07.1,129,18,May,2007,Littoral,Spring,no,77.135,767.25,29.665,0.59905,0,11.425,NA,09.05.07.1
09.05.07.2,129,18,May,2007,Pelagic,Spring,no,58.56,789.05,11.285,0.65675,0,11.425,NA,09.05.07.2
06.07.07.1,187,27,July,2007,Littoral,Summer,no,63.375,1025.3,32.355,0.4888,57.9,16.15,0.0023,06.07.07.1
06.07.07.2,187,27,July,2007,Pelagic,Summer,no,36.52,601.15,17.44,0.4489,57.9,16.15,NA,06.07.07.2
02.08.07.1,214,31,August,2007,Littoral,Summer,no,46.655,580.8,21.805,0.35985,5.3,22.25,0.0072,02.08.07.1
02.08.07.2,214,31,August,2007,Pelagic,Summer,no,43.88,577.3,18.34,0.4217,5.3,22.25,0.0028,02.08.07.2
