genome_or_bin	COG0188.faa.final_tree.fa	COG0195.faa.final_tree.fa	COG0290.faa.final_tree.fa	COG0361.faa.final_tree.fa	COG0380.faa.final_tree.fa	COG0443.faa.final_tree.fa	COG0468.faa.final_tree.fa	COG0484.faa.final_tree.fa	COG0508.faa.final_tree.fa	COG0513.faa.final_tree.fa	COG0532.faa.final_tree.fa	COG0544.faa.final_tree.fa	COG0557.faa.final_tree.fa	COG0593.faa.final_tree.fa	COG0776.faa.final_tree.fa	COG0858.faa.final_tree.fa	COG1115.faa.final_tree.fa	COG1185.faa.final_tree.fa	COG1278.faa.final_tree.fa	COG2609.faa.final_tree.fa	COG3239.faa.final_tree.fa
Anabaena_cylindrica_PCC_7122	2	1	1	1	1	11	28	14	2	25	8	1	6	18	3	2	0	9	1	4	5
Anabaena_sp_90	2	1	1	1	4	10	16	12	1	15	8	1	6	16	3	2	0	6	1	3	6
Anabaena_sp_WA102	2	1	1	1	1	11	24	12	1	15	8	1	5	18	3	2	0	7	2	3	9
Anabaena_sp_YBS01	2	1	2	1	3	9	31	14	2	29	8	1	6	17	3	2	0	6	1	3	7
Aurora_vandensis	2	1	1	1	1	5	1	7	1	8	5	1	1	2	2	1	0	2	0	1	6
Calothrix_sp_PCC_7507	2	1	2	1	5	8	26	13	1	21	9	2	6	20	2	1	0	6	0	5	6
Candidatus_Melainabacteria_bacterium_MEL_A1	1	3	1	1	0	1	8	3	0	6	8	1	2	10	3	2	2	4	0	3	0
Dolichospermum_flos_aquae_CCAP_1403_13F	2	1	1	1	3	9	23	11	1	15	8	1	6	16	2	2	0	6	1	3	6
Dolichospermum_sp_UHCC_0315A	2	1	1	1	4	9	21	12	1	16	7	1	6	17	3	2	0	7	1	3	5
Gloeobacter_kilaueensis_JS1	2	2	1	1	6	7	13	6	1	14	6	1	3	12	3	1	0	3	0	3	5
Leptolyngbya_boryana_IAM_M-101	2	1	2	1	6	8	30	13	3	14	8	2	5	23	4	2	0	6	1	3	10
Leptolyngbya_boryana_NIES-2135	2	1	2	1	6	8	31	13	3	14	8	2	5	25	4	2	0	6	2	3	10
Leptolyngbya_boryana_dg5	2	1	2	1	6	8	30	13	3	14	8	2	5	23	4	2	0	6	1	3	10
Leptolyngbya_sp_NIES-3755	2	1	2	2	8	9	26	10	2	19	9	2	4	19	3	1	0	6	0	4	8
Leptolyngbya_sp_O-77	3	2	1	2	5	11	24	13	2	17	7	1	6	21	1	1	0	6	1	2	6
Leptolyngbya_sp_PCC_7376	2	2	1	2	3	8	19	11	1	11	10	2	5	12	3	2	0	5	1	2	8
Microcoleus_sp_PCC_7113	2	1	3	2	7	12	33	14	3	23	10	2	5	19	1	2	0	6	1	3	7
Nostoc_azollae_0708	2	2	1	1	3	8	12	11	2	10	7	1	5	15	1	2	0	6	0	3	4
Nostoc_edaphicum_CCNP1411	2	1	2	1	5	11	31	13	2	19	9	1	5	17	3	2	0	6	0	3	10
Nostoc_flagelliforme_CCNUN1	2	1	2	0	5	9	47	15	3	34	9	1	5	24	4	2	0	6	0	3	15
Nostoc_punctiforme_PCC_73102	2	2	5	1	5	13	28	16	3	23	8	1	6	22	5	2	0	7	0	2	11
Nostoc_spNIES-3756	2	2	2	1	3	9	23	14	2	19	8	1	6	16	2	2	0	6	0	3	9
Nostoc_sp_ATCC_53789	2	1	3	1	7	9	42	15	2	22	8	1	5	22	4	2	0	7	1	3	9
Nostoc_sp_C052	3	1	2	1	3	8	24	18	3	30	9	1	5	23	4	2	0	6	0	2	14
Nostoc_sp_C057	2	1	3	1	6	10	31	17	2	30	8	1	5	24	6	2	0	8	2	3	10
Nostoc_sp_CENA543	2	1	2	1	2	14	32	14	3	16	9	1	6	19	3	2	0	6	1	3	9
Nostoc_sp_Lobaria_pulmonaria_5183_cyanobiont	2	1	2	0	4	10	28	12	1	22	8	2	5	15	1	2	0	6	1	3	9
Nostoc_sp_PCC_7120_FACHB-418	2	1	2	1	3	11	28	14	2	22	8	1	6	20	3	1	0	6	0	3	7
Nostoc_sp_PCC_7524	2	2	2	1	3	8	31	15	4	15	8	1	5	16	3	2	0	7	1	4	5
Nostoc_sp_Peltigera_membranacea_cyanobiont_N6	2	1	2	2	3	8	26	13	1	32	9	1	5	22	5	2	0	8	0	2	7
Nostoc_sp_TCL240_02	2	2	2	1	4	8	27	14	3	21	8	1	5	23	4	2	0	6	0	4	12
Nostoc_sp_TCL26_01	2	1	2	1	4	10	26	14	1	18	8	1	5	16	3	2	0	6	0	4	6
Nostoc_sphaeroides	2	2	2	1	1	11	24	15	2	17	8	1	5	15	2	2	0	6	1	3	7
Nostoc_sphaeroides_CCNUC1	2	2	2	2	2	12	32	18	2	36	8	1	5	19	3	2	0	6	2	4	9
Oscillatoria_acuminata_PCC_6304	3	2	1	1	6	13	32	10	1	17	8	2	5	15	2	1	1	7	3	1	7
Oscillatoria_nigro_viridis_PCC_7112	2	1	1	1	5	8	29	11	1	22	9	2	5	16	1	2	0	6	1	3	6
Phormidium_pseudopriestleyi	2	2	0	1	0	8	3	7	1	10	5	1	2	1	1	1	1	3	0	1	6
Pseudanabaena_sp_ABRG5_3	2	2	1	1	3	9	25	10	2	22	9	1	5	19	4	2	0	7	0	1	9
Pseudanabaena_sp_PCC_7367	2	1	1	1	6	8	25	10	1	11	7	1	3	20	3	1	0	5	0	2	3
Synechococcus_lividus_PCC_6715	2	1	1	1	1	9	15	10	2	8	6	1	2	6	1	2	0	4	0	3	5
Thermoleptolyngbya_sp_PKUAC_SCTA183	2	2	1	1	6	9	25	12	4	16	7	1	6	18	1	1	0	6	1	2	6
Trichodesmium_erythraeum_IMS101	2	1	1	1	0	13	21	9	1	15	8	1	5	32	1	2	2	6	0	3	4
